TeamBlueTopGoldEarned,TeamBlueTopChampionName,TeamBlueTopDamageDealt,TeamBlueTopWins,TeamBlueTopLosses,TeamBlueTopLeaguePoints,TeamRedTopGoldEarned,TeamRedTopChampionName,TeamRedTopDamageDealt,TeamRedTopWins,TeamRedTopLosses,TeamRedTopLeaguePoints,TeamBlueJungleGoldEarned,TeamBlueJungleChampionName,TeamBlueJungleDamageDealt,TeamBlueJungleWins,TeamBlueJungleLosses,TeamBlueJungleLeaguePoints,TeamRedJungleGoldEarned,TeamRedJungleChampionName,TeamRedJungleDamageDealt,TeamRedJungleWins,TeamRedJungleLosses,TeamRedJungleLeaguePoints,TeamBlueMidGoldEarned,TeamBlueMidChampionName,TeamBlueMidDamageDealt,TeamBlueMidWins,TeamBlueMidLosses,TeamBlueMidLeaguePoints,TeamRedMidGoldEarned,TeamRedMidChampionName,TeamRedMidDamageDealt,TeamRedMidWins,TeamRedMidLosses,TeamRedMidLeaguePoints,TeamBlueADCGoldEarned,TeamBlueADCChampionName,TeamBlueADCDamageDealt,TeamBlueADCWins,TeamBlueADCLosses,TeamBlueADCLeaguePoints,TeamRedADCGoldEarned,TeamRedADCChampionName,TeamRedADCDamageDealt,TeamRedADCWins,TeamRedADCLosses,TeamRedADCLeaguePoints,TeamBlueSupportGoldEarned,TeamBlueSupportChampionName,TeamBlueSupportDamageDealt,TeamBlueSupportWins,TeamBlueSupportLosses,TeamBlueSupportLeaguePoints,TeamRedSupportGoldEarned,TeamRedSupportChampionName,TeamRedSupportDamageDealt,TeamRedSupportWins,TeamRedSupportLosses,TeamRedSupportLeaguePoints,win
16214,105,26506,211,167,1234,10956,90,22128,100,100,1000,13415,117,22375,168,126,1061,12993,14,25173,100,100,1000,11490,57,20258,100,100,1000,9695,123,21509,100,100,1000,9059,10,14212,100,100,1000,13650,138,26207,100,100,1000,6976,121,5649,100,100,1000,7911,98,6479,185,148,1161,1
13794,44,23486,328,297,1083,15267,103,18407,251,221,953,19007,104,45009,434,379,1542,18491,14,28178,270,234,1229,14274,91,27348,277,209,1373,13224,7,22795,107,62,1136,15374,140,31589,100,100,1000,17513,9,47728,222,197,1107,11742,110,25908,100,100,1000,9025,130,8917,333,280,1367,0
10191,104,19248,434,379,1542,12935,94,33601,269,235,1091,13130,123,19403,175,137,1330,19084,39,30953,100,100,1000,13700,124,25568,372,317,1471,12736,96,20405,100,100,1000,14170,51,26855,256,217,1026,12555,138,23961,100,100,1000,10038,8,15727,124,75,1388,9099,7,15848,107,62,1136,0
17626,40,34301,100,100,1000,11387,61,29128,100,100,1000,13834,88,18499,100,100,1000,12073,104,19604,100,100,1000,12566,140,32492,100,100,1000,9472,141,21087,100,100,1000,13863,139,20595,100,100,1000,18678,18,46380,100,100,1000,9739,156,13501,100,100,1000,11078,78,5367,260,204,1534,1
12977,76,24201,100,100,1000,17549,37,31178,100,100,1000,15539,144,25853,100,100,1000,16447,143,19990,100,100,1000,11922,34,15703,366,326,1033,13110,162,29983,285,240,1355,21864,118,43463,100,100,1000,14508,138,20991,100,100,1000,9612,55,17088,261,221,1017,11470,110,19350,100,100,1000,1
11466,48,23652,100,100,1000,11057,74,19838,100,100,1000,13690,149,21260,100,100,1000,12857,143,17239,100,100,1000,15978,70,30123,368,327,1068,12658,123,26186,456,414,1107,16340,51,31451,233,186,1219,12112,159,22212,256,217,1026,10616,151,17503,100,100,1000,8237,15,8839,100,100,1000,1
5037,106,7711,117,72,1006,6105,48,7445,134,70,1437,7072,63,7260,100,100,1000,5484,67,3880,247,202,1313,6136,66,12825,372,317,1471,5476,123,7587,100,100,1000,9965,138,10171,84,57,1192,4026,51,1643,100,100,1000,5586,15,4657,333,280,1367,3522,72,3230,100,100,1000,1
11408,117,16818,412,380,1067,12467,154,23115,101,66,1076,13042,144,19882,240,200,1192,12016,76,17331,371,316,1575,12505,158,22505,100,100,1000,10405,145,28882,100,100,1000,10302,11,21269,100,100,1000,15380,50,25029,100,100,1000,7413,55,13617,100,100,1000,12272,110,27913,100,100,1000,0
11562,21,31701,116,74,1225,10660,117,25235,100,100,1000,14781,28,35638,175,137,1330,17254,67,33481,437,413,1074,16057,131,41800,128,84,1363,14293,124,47392,111,78,1098,17718,150,45389,451,415,1199,11855,30,25206,148,112,1020,11067,8,20837,115,83,1060,8914,13,12911,200,143,1341,1
12710,61,16871,269,235,1091,7925,146,6043,100,100,1000,10708,86,16735,100,100,1000,11316,144,12712,100,100,1000,13119,49,21082,412,380,1067,10866,124,18381,100,100,1000,13447,54,15719,100,100,1000,10609,51,17902,179,128,1282,7522,73,8183,423,379,1064,6302,101,4772,100,100,1000,1
